Peringkat_Sekolah,PPD,Kod_Sekolah,Nama_Sekolah,Alamat,Poskod,Bandar,Negeri,Telefon,Fax
Menengah,PPD BATANG PADANG,AEA0033,SMK HAMID KHAN,JALAN DAMAI,35000,TAPAH,PERAK,54011181,54014200
Menengah,PPD BATANG PADANG,AEA0034,SMK KHIR JOHARI,JALAN BEROP,35900,TANJONG MALIM,PERAK,54596334,54582454
Menengah,PPD BATANG PADANG,AEA0035,SMK TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,PERAK,54322303,54321125
Menengah,PPD BATANG PADANG,AEA0036,SMK SLIM,"JLN MELATI, TAMAN SEROJA",35800,SLIM RIVER,PERAK,54528926,54520514
Menengah,PPD BATANG PADANG,AEA0037,SMK (FELDA) BESOUT,FELDA BESOUT 1,35600,SUNGKAI,PERAK,54311721,54311721
Menengah,PPD BATANG PADANG,AEA0038,SMK SUNGAI KERUIT,SIMPANG SUNGAI KLAH,35600,SUNGKAI,PERAK,54388308,54386443
Menengah,PPD BATANG PADANG,AEA0039,SMK AIR KUNING,JALAN DEGONG,31920,MAMBANG DI AWAN,PERAK,54789879,54789879
Menengah,PPD BATANG PADANG,AEA0040,SMK CHENDERIANG,"KM 2, JALAN TEMOH TAPAH",35350,TEMOH,PERAK,54199328,54190145
Menengah,PPD BATANG PADANG,AEA0041,SMK TAPAH,JALAN BIDOR LAMA,35000,TAPAH,PERAK,54013677,54013677
Menengah,PPD BATANG PADANG,AEA0042,SMK BIDOR,JALAN TELUK INTAN,35500,BIDOR,PERAK,54347127,54340400
Menengah,PPD BATANG PADANG,AEA0043,SM SAINS TAPAH,"BATU 2, JALAN PAHANG",35000,TAPAH,PERAK,54018745,54018743
Menengah,PPD BATANG PADANG,AEA0044,SMK BANDAR BEHRANG 2020,BANDAR BEHRANG 2020,35900,TANJONG MALIM,PERAK,54581172,54581168
Menengah,PPD MANJUNG,AEA1109,SMK SERI MANJUNG,SERI MANJUNG,32040,SERI MANJUNG,PERAK,56881372,56887133
Menengah,PPD MANJUNG,AEA1110,SMK AHMAD BOESTAMAM,JLN HJ MOHD ALI,32000,SITIAWAN,PERAK,56911552,56927724
Menengah,PPD MANJUNG,AEA1111,SMK PANGKALAN TLDM,PANGKALAN TLDM LUMUT,32100,LUMUT,PERAK,56835848,56833601
Menengah,PPD MANJUNG,AEA1112,SMK BATU SEPULUH,LEKIR,32020,SITIAWAN,PERAK,56798310,56798314
Menengah,PPD MANJUNG,AEA1113,SMK PANTAI REMIS,JALAN TAMAN BINTANG,34900,PANTAI REMIS,PERAK,56775484,56779400
Menengah,PPD MANJUNG,AEA1114,SMK SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,PERAK,56882140,56882161
Menengah,PPD MANJUNG,AEA1115,SMK CHANGKAT BERUAS,JALAN TAIPING,32700,BERUAS,PERAK,56749655,56748240
Menengah,PPD MANJUNG,AEA1116,SMK KG. DATO' SERI KAMARUDDIN,SERI MANJUNG,32040,SERI MANJUNG,PERAK,56881332,56881394
Menengah,PPD KINTA UTARA,AEA2041,SMK RAJA  CHULAN,JALAN DAIRY,31400,IPOH,PERAK,55457082,55456289
Menengah,PPD KINTA SELATAN,AEA2042,SMK SRI KAMPAR,JALAN ISKANDAR,31900,KAMPAR,PERAK,54661359,54659155
Menengah,PPD KINTA UTARA,AEA2043,SMK JALAN PASIR PUTEH,JALAN PASIR PUTEH,31650,IPOH,PERAK,52530520,52557442
Menengah,PPD KINTA UTARA,AEA2044,SMK GUNUNG RAPAT,JLN TEOH KIM SWEE,31350,IPOH,PERAK,53122855,53132067
Menengah,PPD KINTA UTARA,AEA2045,SMK RAJA PERMAISURI BAINUN,"JALAN INTAN, KAMPUNG DATO' AHMAD SAID",30020,IPOH,PERAK,55267522,55265334
Menengah,PPD KINTA UTARA,AEA2046,SMK DATO' HJ. MOHD TAIB,JALAN SEKOLAH,31200,CHEMOR,PERAK,52011808,52014029
Menengah,PPD KINTA UTARA,AEA2047,SMK SERI KELEDANG,PERSIARAN KELEDANG TIMUR 2,31450,MENGLEMBU,PERAK,52813240,52823433
Menengah,PPD KINTA UTARA,AEA2048,SMK KG. DATO' AHMAD SAID,LEBUH RAJAWALI,30020,IPOH,PERAK,55270020,50266441
